name,code,pop
Ireland,IRL,1
France,FRA,119
Guadeloupe,GLP,1
Italy,ITA,9
Netherlands,NLD,9
Norway,NOR,24
Switzerland,CHE,49
Canada,CAN,53
USA,USA,361
Australia,AUS,49
Argentina,ARG,17
Denmark,DNK,9
Portugal,PRT,31
Japan,JPN,183
Northern Island,MNP,8
UK,GBR,107
Germany,DEU,37
Spain,ESP,22
India,IND,53
Israel,ISR,31
China,CHN,514
Republic Of Korea,PRK,7
Russia,RUS,110
Korea,KOR,143
Brazil,BRA,48
Belgium,BEL,4
Taiwan,TWN,25
Uruguay,URY,4
Vietnam,VNM,7
Sweden,SWE,16
Hong Kong,HKG,14
Zimbabwe,ZWE,1
Ghana,GHA,3
Czech Republic,CZE,25
Lebanon,LBN,2
Egypt,EGY,5
Thailand,THA,13
Nigeria,NER,4
Greece,GRC,7
Bangladesh,BGD,2
Chile,CHL,8
South Africa,ZAF,2
Sub-Sahara Africa,CAF,1
Iran,IRN,8
Singapore,SGP,6
Tanzania,TZA,1
Haiti,HTI,2
Turkey,TUR,2
Colombia,COL,3
Poland,POL,9
New Zealand,NZL,4
Hungary,HUN,1
United Arab Emirates,ARE,2
Cameroon,CMR,2
Cuba,CUB,2
Myanmar,MMR,1
Croatia,HRV,1
Mongolia,MNG,2
Latvia,LVA,2
Cambodia,KHM,4
Ecuador,ECU,1
Mexico,MEX,5
Tunisia,TUN,5
Bolivia,BOL,4
Peru,PER,1
Bulgaria,BGR,2
Lithuania,LTU,2
