loc,id,pop
Ireland,IRL,0.045248869
France,FRA,5.384615385
Guadeloupe,GLP,0.045248869
Italy,ITA,0.407239819
Netherlands,NLD,0.407239819
Norway,NOR,1.085972851
Switzerland,CHE,2.21719457
Canada,CAN,2.398190045
USA,USA,16.33484163
Australia,AUS,2.21719457
Argentina,ARG,0.769230769
Denmark,DNK,0.407239819
Portugal,PRT,1.402714932
Japan,JPN,8.280542986
Northern Island,MNP,0.36199095
UK,GBR,4.841628959
Germany,DEU,1.674208145
Spain,ESP,0.995475113
India,IND,2.398190045
Israel,ISR,1.402714932
China,CHN,23.25791855
Republic Of Korea,PRK,0.316742081
Russia,RUS,4.977375566
Korea,KOR,6.470588235
Brazil,BRA,2.171945701
Belgium,BEL,0.180995475
Taiwan,TWN,1.131221719
Uruguay,URY,0.180995475
Vietnam,VNM,0.316742081
Sweden,SWE,0.7239819
Hong Kong,HKG,0.633484163
Zimbabwe,ZWE,0.045248869
Ghana,GHA,0.135746606
Czech Republic,CZE,1.131221719
Lebanon,LBN,0.090497738
Egypt,EGY,0.226244344
Thailand,THA,0.588235294
Nigeria,NER,0.180995475
Greece,GRC,0.316742081
Bangladesh,BGD,0.090497738
Chile,CHL,0.36199095
South Africa,ZAF,0.090497738
Sub-Sahara Africa,CAF,0.045248869
Iran,IRN,0.36199095
Singapore,SGP,0.271493213
Tanzania,TZA,0.045248869
Haiti,HTI,0.090497738
Turkey,TUR,0.090497738
Colombia,COL,0.135746606
Poland,POL,0.407239819
New Zealand,NZL,0.180995475
Hungary,HUN,0.045248869
United Arab Emirates,ARE,0.090497738
Cameroon,CMR,0.090497738
Cuba,CUB,0.090497738
Myanmar,MMR,0.045248869
Croatia,HRV,0.045248869
Mongolia,MNG,0.090497738
Latvia,LVA,0.090497738
Cambodia,KHM,0.180995475
Ecuador,ECU,0.045248869
Mexico,MEX,0.226244344
Tunisia,TUN,0.226244344
Bolivia,BOL,0.180995475
Peru,PER,0.045248869
Bulgaria,BGR,0.090497738
Lithuania,LTU,0.090497738
